"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-01","1.79",,"0.00","0.0","16.1","-18","-16","-28","   30","   40","6.9","6.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-02","3.58"," 1156","0.00","0.0","16.1","-14","1","-19","   50","   10","8.9","11.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-03","4.03"," 2047","0.14","1.1","16.1","-6","19","-12","   10","   10","12.1","17.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-04","1.12"," 1745","0.00","0.0","16.9","12","18","3","   60","  260","8.1","8.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-05","2.46"," 1551","0.04","0.6","16.9","10","20","2","  200","  190","8.1","11.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-06","1.57"," 2006","0.00","0.0","16.9","18","20","6","  180","  190","6.0","6.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-07","1.12"," 1917","0.00","0.0","16.9","8","13","-2","   30","   30","6.9","6.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-08","1.12"," 0809","0.00","0.0","16.9","3","23","-4","   30","   30","6.0","6.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-09","4.70"," 1828","0.00","0.0","16.1","22","38","19","   10","   40","13.0","18.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-10","1.57"," 0237","0.00","0.0","16.1","25","28","12","   10","   20","8.1","8.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-11","2.24"," 0015","0.00","0.0","16.1","14","18","9","   40","   30","10.1","11.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-12","3.80"," 1153","0.39","7.5","16.1","21","30","15","   20","   20","12.1","15.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-13","9.84"," 0913","0.24","5.4","24.0","24","26","-3","  360","  350","15.0","21.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-14","6.71"," 0334","0.00","0.0","28.0","0","3","-29","   20","   20","19.9","23.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-15","3.58"," 2144","0.01","0.3","27.2","-24","-5","-32","   50","   60","8.9","12.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-16","3.13"," 0432","0.07","0.7","27.2","-8","7","-9","   30","   30","6.9","8.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-17","3.80"," 1021","0.00","0.0","25.2","-3","3","-12","   40","   30","8.9","10.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-18","2.68"," 1736","0.00","0.0","25.2","-7","-1","-15","   50","   60","8.9","11.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-19","1.34"," 0019","0.00","0.0","24.0","-8","0","-18","   20","   40","10.1","11.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-20","0.67"," 1240","0.00","0.0","24.0","-13","-4","-18","  160","  160","6.9","8.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-21","4.47"," 2050","0.00","0.0","24.0","-7","11","-12","   10","   20","10.1","12.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-22","5.82"," 2007","0.00","0.0","24.0","10","22","1","   10","   50","10.1","14.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-23","7.83"," 1719","0.00","0.1","24.0","17","19","14","  360","   10","13.0","17.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-24","2.24"," 0000","0.00","0.0","22.8","9","15","-5","   40","   20","8.1","10.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-25","1.12"," 1626","0.00","0.0","22.8","-1","5","-8","  190","  190","6.9","8.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-26","1.12"," 0722","0.08","1.1","22.0","-4","7","-9","  180","  170","6.9","8.1"
